match_sk,match_id,team1,team2,match_date,season_year,venue_name,city_name,country_name,toss_winner,match_winner,toss_name,win_type,outcome_type,manofmach,win_margin,country_id,match_date_cleaned
198,501227,Kolkata Knight Riders,Royal Challengers Bangalore,4/22/2011,2011,Eden Gardens,Kolkata,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Wickets,Result,Ch Gayle,9,1,2011-04-22
199,501228,Delhi Daredevils,Kings Xi Punjab,4/23/2011,2011,Feroz Shah Kotla,Delhi,India,Kings Xi Punjab,Delhi Daredevils,Field,Runs,Result,Da Warner,29,1,2011-04-23
200,501229,Deccan Chargers,Mumbai Indians,4/24/2011,2011,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Deccan Chargers,Mumbai Indians,Field,Runs,Result,Sl Malinga,37,1,2011-04-24
201,501230,Rajasthan Royals,Kochi Tuskers Kerala,4/24/2011,2011,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,Field,Wickets,Result,Sk Warne,8,1,2011-04-24
202,501231,Chennai Super Kings,Pune Warriors,4/25/2011,2011,"Ma Chidambaram Stadium, Chepauk",Chennai,India,Pune Warriors,Chennai Super Kings,Field,Runs,Result,Mek Hussey,25,1,2011-04-25
203,501232,Delhi Daredevils,Royal Challengers Bangalore,4/26/2011,2011,Feroz Shah Kotla,Delhi,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Wickets,Result,V Kohli,3,1,2011-04-26
204,501233,Pune Warriors,Chennai Super Kings,4/27/2011,2011,Dr Dy Patil Sports Academy,Mumbai,India,Pune Warriors,Chennai Super Kings,Bat,Wickets,Result,De Bollinger,8,1,2011-04-27
205,501234,Kochi Tuskers Kerala,Deccan Chargers,4/27/2011,2011,Nehru Stadium,Kochi,India,Kochi Tuskers Kerala,Deccan Chargers,Field,Runs,Result,I Sharma,55,1,2011-04-27
206,501235,Delhi Daredevils,Kolkata Knight Riders,4/28/2011,2011,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Kolkata Knight Riders,Field,Runs,Result,Mk Tiwary,17,1,2011-04-28
207,501236,Rajasthan Royals,Mumbai Indians,4/29/2011,2011,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,Field,Wickets,Result,J Botha,7,1,2011-04-29
208,501237,Royal Challengers Bangalore,Pune Warriors,4/29/2011,2011,M Chinnaswamy Stadium,Bangalore,India,Pune Warriors,Royal Challengers Bangalore,Field,Runs,Result,V Kohli,26,1,2011-04-29
209,501238,Kochi Tuskers Kerala,Delhi Daredevils,4/30/2011,2011,Nehru Stadium,Kochi,India,Delhi Daredevils,Delhi Daredevils,Bat,Runs,Result,V Sehwag,38,1,2011-04-30
210,501239,Kolkata Knight Riders,Kings Xi Punjab,4/30/2011,2011,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,Field,Wickets,Result,Iqbal Abdulla,8,1,2011-04-30
211,501240,Rajasthan Royals,Pune Warriors,5/1/2011,2011,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,Field,Wickets,Result,Lrpl Taylor,6,1,2011-05-01
212,501241,Chennai Super Kings,Deccan Chargers,5/1/2011,2011,"Ma Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,Bat,Runs,Result,Ja Morkel,19,1,2011-05-01
213,501242,Mumbai Indians,Kings Xi Punjab,5/2/2011,2011,Wankhede Stadium,Mumbai,India,Kings Xi Punjab,Mumbai Indians,Field,Runs,Result,Ka Pollard,23,1,2011-05-02
214,501243,Delhi Daredevils,Kochi Tuskers Kerala,5/2/2011,2011,Feroz Shah Kotla,Delhi,India,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Field,Wickets,Result,P Parameswaran,7,1,2011-05-02
215,501244,Deccan Chargers,Kolkata Knight Riders,5/3/2011,2011,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Deccan Chargers,Kolkata Knight Riders,Field,Runs,Result,Yk Pathan,20,1,2011-05-03
216,501245,Chennai Super Kings,Rajasthan Royals,5/4/2011,2011,"Ma Chidambaram Stadium, Chepauk",Chennai,India,Rajasthan Royals,Chennai Super Kings,Bat,Wickets,Result,Mek Hussey,8,1,2011-05-04
217,501246,Pune Warriors,Mumbai Indians,5/4/2011,2011,Dr Dy Patil Sports Academy,Mumbai,India,Pune Warriors,Mumbai Indians,Field,Runs,Result,R Sharma,21,1,2011-05-04
218,501247,Kochi Tuskers Kerala,Kolkata Knight Riders,5/5/2011,2011,Nehru Stadium,Kochi,India,Kolkata Knight Riders,Kochi Tuskers Kerala,Field,Runs,Result,Bj Hodge,17,1,2011-05-05
